name,cutoff_value,mean_time,std_time,mean_accuracy,std_accuracy,mean_bond_dim,std_bond_dim
zipup,1e-08,1.8827945232391357,0.05013707705711592,2.9223075044015207e-08,0.0,48.0,0.0
zipup,1e-09,3.317887210845947,0.06517246029269368,3.611242427454956e-09,4.1359030627651384e-25,64.0,0.0
zipup,1e-10,4.646358633041382,0.04676317858358899,3.054071045732902e-10,0.0,88.0,0.0
zipup,1e-11,6.802420520782471,0.10568999428751376,3.182844420977613e-11,0.0,118.0,0.0
zipup,1e-12,12.072532653808594,0.22909218211535073,2.9923267159421055e-12,4.0389678347315804e-28,164.0,0.0
zipup,1e-13,18.92551736831665,0.0662866814362385,5.127579416883239e-13,0.0,231.0,0.0
zipup,1e-14,32.89581871032715,0.1989054473613818,4.661165627013559e-13,0.0,323.0,0.0
random,0.01,0.16344165802001953,0.03369307788261109,0.021403852651355672,0.0004907636087563596,2.0,0.0
random,0.001,0.18013648986816405,0.04337583028217711,0.005969359367946831,0.0008218820996356217,2.2,0.39999999999999997
random,0.0001,0.2519683837890625,0.038069859586190434,0.0005559644071894941,9.164433893238295e-06,4.0,0.0
random,1e-05,0.2977573394775391,0.023053738550493124,6.239266392331816e-05,5.276874046820017e-06,5.0,0.0
random,1e-06,0.4530505180358887,0.03233253427921765,8.500001594937762e-06,1.3940170381621103e-06,8.0,0.0
random,1e-07,0.6328046321868896,0.028328752339557554,9.280745339309206e-07,9.61817448621372e-08,13.0,0.0
random,1e-08,0.8967170238494873,0.05331863734995351,1.1614474143380946e-07,2.4392566797774457e-08,16.6,0.4898979485566356
random,1e-09,1.2978770732879639,0.07478882427822121,1.1631757756038515e-08,9.225194230480513e-10,27.0,0.0
random,1e-10,1.7647655487060547,0.03848730347103952,1.2002805934779111e-09,3.096460124270124e-10,35.8,0.4
random,1e-11,2.153230381011963,0.07322578854873263,1.1654683511484427e-10,1.1194749482418143e-11,48.0,0.0
random,1e-12,2.6707242488861085,0.19438751630448525,1.1196355270246973e-11,2.285566230633577e-12,52.0,0.0
random,1e-13,3.4005417346954347,0.10808682732746287,1.0997242077031357e-12,1.30017286410386e-13,62.8,0.4
random,1e-14,5.344976568222046,0.3986604280215055,2.3757654770619364e-13,6.525934371358627e-15,81.0,0.0
random+oversample,0.01,0.2207106590270996,0.023191028049393457,0.020549873189724895,0.00012076307286123274,2.0,0.0
random+oversample,0.001,0.28687210083007814,0.03495581947817564,0.004066517038996991,2.963043089131893e-05,2.0,0.0
random+oversample,0.0001,0.367690372467041,0.031388471853999164,0.0005422507213830883,4.564408022866737e-06,4.0,0.0
random+oversample,1e-05,0.4505183219909668,0.041542838766516994,5.032867325614653e-05,3.632226705779734e-07,5.0,0.0
random+oversample,1e-06,0.6697835922241211,0.06409885987850115,6.7083264053579965e-06,2.9990813755675875e-08,8.0,0.0
random+oversample,1e-07,0.9336036205291748,0.04899547206700747,7.05735254266173e-07,2.6073400669957593e-09,13.0,0.0
random+oversample,1e-08,1.3608731269836425,0.047427933202210754,7.656717616794534e-08,5.558695408662594e-10,17.0,0.0
random+oversample,1e-09,1.7821834087371826,0.05060875604282276,8.596007248323802e-09,4.302350601145194e-11,27.0,0.0
random+oversample,1e-10,2.2297303676605225,0.05551892508484105,8.316901711936713e-10,1.1757604619670999e-12,36.0,0.0
random+oversample,1e-11,2.7611873149871826,0.1932640458707782,8.5011432604313e-11,2.819794817064883e-13,48.0,0.0
random+oversample,1e-12,3.5657652378082276,0.23853980914620662,7.657757935928033e-12,3.9617753876984904e-14,52.0,0.0
random+oversample,1e-13,4.930642938613891,0.18366147232791744,8.124388450996012e-13,7.0119855025201745e-15,63.0,0.0
random+oversample,1e-14,7.839174127578735,0.20156005803492352,2.2206894185276375e-13,4.118961110863922e-15,81.0,0.0
