Bond Dimension,random Mean Time,random Time Std,random Mean Accuracy,random Accuracy Std,random+oversample Mean Time,random+oversample Time Std,random+oversample Mean Accuracy,random+oversample Accuracy Std,zipup Mean Time,zipup Time Std,zipup Mean Accuracy,zipup Accuracy Std,fit Mean Time,fit Time Std,fit Mean Accuracy,fit Accuracy Std,rand_then_orth Mean Time,rand_then_orth Time Std,rand_then_orth Mean Accuracy,rand_then_orth Accuracy Std,naive Mean Time,naive Time Std,naive Mean Accuracy,naive Accuracy Std,density Mean Time,density Time Std,density Mean Accuracy,density Accuracy Std
5,0.1360252857208252,0.011909207069940694,0.0001693834564826053,1.8096971289467862e-05,0.35308055877685546,0.015455008221686248,2.1861536210436804e-05,3.94486874844352e-10,0.13722000122070313,0.0034006824668750338,0.00013997855390164677,0.0,0.7471326351165771,0.01836727244202122,2.1853929348989772e-05,7.920097065844975e-11,23.73751916885376,0.7408903781936326,0.00012608157129282376,4.068956884682101e-05,693.6335005760193,0.8105326980250366,2.1860174392269777e-05,0.0,123.3101312160492,0.7720130554880795,2.1793377192926954e-05,0.0
10,0.2545478343963623,0.01215744150687349,4.275071603071423e-06,3.9022834111277485e-07,0.48123674392700194,0.027044163071501266,5.583842937163461e-07,4.892087065972678e-10,0.37919058799743655,0.014493908393436014,1.350306028446192e-05,0.0,1.072817850112915,0.06659361455552013,5.552032480305656e-07,6.470299903448877e-12,23.788478565216064,0.25741684644189133,2.392782428356999e-06,1.6434120544049502e-07,693.8744314193725,4.519344435982395,5.555929984234856e-07,0.0,124.33701996803283,0.3471199062842654,5.049192033388377e-07,0.0
15,0.35980839729309083,0.01763535445279823,4.3655487460476096e-07,2.58905348402248e-08,0.6626678466796875,0.035906322030684404,6.45207087838396e-08,9.040348330973416e-10,0.5798132419586182,0.026171061734425342,2.1491286065123093e-06,0.0,1.368171501159668,0.03809003018234554,6.157911277314308e-08,6.140794743491169e-13,23.19073419570923,0.17129912021719632,2.679277756829668e-07,1.5164232896995924e-08,691.0538365840912,0.6502490121482477,6.162634605915589e-08,0.0,123.51581382751465,0.6296352432586992,8.16979537517033e-08,0.0
20,0.48346939086914065,0.024394289086932256,8.684361340137651e-08,6.061867349321801e-09,0.7549124240875245,0.05811459797163522,1.23515429262791e-08,1.518766729818694e-10,0.8025645256042481,0.019919759894783933,5.595664076512776e-07,0.0,1.582068681716919,0.09743473965650133,1.0871970480719254e-08,1.5767045312006305e-13,24.318284940719604,0.38208364212313484,4.555945055588035e-08,5.73245424719168e-09,691.2570440769196,1.849282772687869,1.0874768392854879e-08,0.0,123.15310111045838,0.30772955376497574,1.5788078259477973e-08,0.0
25,0.58887619972229,0.010379975277234414,2.6837900624489456e-08,4.069422572342079e-09,0.9972271919250488,0.04310122880797056,3.5801083935942805e-09,2.2615345652194223e-12,1.087536334991455,0.02515799336708828,2.752371645445427e-07,0.0,2.0159444332122805,0.024897121692869763,3.446015342518375e-09,1.2953228537886094e-14,25.1150972366333,0.08917030339100385,1.3815509137099161e-08,3.555721711976776e-10,691.8854130268097,2.98160223686933,3.4478855489701787e-09,4.1359030627651384e-25,124.83149495124817,0.15432620110315215,4.26069252094885e-09,0.0
30,0.6925007343292237,0.01643903743665281,6.537675398551024e-09,4.791682227681926e-10,1.1786335945129394,0.02712332771644744,9.170162011720942e-10,4.9311064491830355e-12,1.3664032459259032,0.021616834975150143,9.586645837843168e-08,0.0,2.253391170501709,0.06502104500251511,8.860602868840748e-10,1.0946788834830395e-14,25.297645568847656,0.42277570370663575,4.032947769332658e-09,1.5930255126154077e-10,679.9921334266662,1.390687449105629,8.862105698821165e-10,0.0,125.24743475914002,0.1783289879827253,1.4928658038344124e-09,0.0
35,0.8478096008300782,0.014589131303917985,2.11069716261877e-09,1.189620665883139e-10,1.4879583835601806,0.014582370427991926,2.4576411021487924e-10,4.23499462804574e-14,1.8117650032043457,0.01181345338740444,4.458222449581552e-08,0.0,2.7661908149719237,0.03260088051149551,2.456020667364228e-10,1.6160957179667366e-15,27.00044846534729,0.1781553912914921,1.091977508779365e-09,6.979287986758063e-11,679.5101387023926,1.0627786146631915,2.4562292510002214e-10,0.0,125.30990180969238,0.07603297020207628,3.875829186413414e-10,0.0
40,0.9771256446838379,0.015714690807179424,7.954316190727857e-10,6.356105513825629e-11,1.6594981670379638,0.009822716985714188,9.925640573429412e-11,9.340109466372794e-16,2.1280101776123046,0.05831512932821223,2.494750723486965e-08,0.0,3.055671453475952,0.048724292177331596,9.92430587726602e-11,4.591150582968578e-16,26.488330459594728,0.14661904627731712,4.1661336012417066e-10,3.006854830490051e-11,679.305168390274,0.7809544983827182,9.924554457916424e-11,1.2924697071141057e-26,125.54970264434814,0.1377914830081196,1.5188089238989848e-10,0.0
45,1.1477566719055177,0.01642766413285408,2.7079522493343576e-10,6.703702781295357e-12,2.0144550800323486,0.03694226683042072,3.418209586634097e-11,2.0904835096440071e-16,2.595324993133545,0.05654492305153097,1.4243816441642533e-08,0.0,3.472590970993042,0.03208449046335742,3.417908982957356e-11,8.115939674434949e-17,27.493175554275513,0.46789372258645506,1.614283109238466e-10,4.85734631157158e-12,680.1059121131897,1.4810576450358297,3.417999258359366e-11,0.0,126.03322110176086,0.11218885295624367,4.8417228992002956e-11,0.0
50,1.3885279655456544,0.04588742059115287,4.781352740793252e-11,1.8789015400066704e-12,2.283675479888916,0.025578759230656587,2.837383768788163e-12,3.632575401869915e-16,2.971077728271484,0.024315973442501096,6.756468489527579e-09,0.0,4.038574504852295,0.0371146645460846,2.8327531390758463e-12,1.679854734404888e-16,26.337515449523927,0.7261257450184679,2.590795690341134e-11,2.3968799879809043e-12,678.1655113220215,2.1607760601731703,2.834440602759066e-12,0.0,126.21589999198913,0.04814196475524236,1.15469353109839e-11,0.0
55,1.5160053730010987,0.03540276034979969,5.12812213166946e-12,2.4701727233644676e-13,2.574923372268677,0.024840399959423935,5.184712752137624e-13,2.038903341043689e-15,3.5061277866363527,0.01335732416159001,2.9370853229226058e-09,0.0,4.47995285987854,0.10606619435612565,5.13753239437885e-13,1.0535839534197551e-15,25.578778791427613,0.23526193583770713,2.9467618272020777e-12,1.2402956030282172e-13,680.3242589950562,1.2942144093173882,5.247730939150563e-13,0.0,126.48569388389588,0.10772619428721357,1.077111998399517e-12,0.0
60,1.6184418678283692,0.0764300499746494,1.720622952989428e-12,1.6298074544617482e-13,2.876320505142212,0.01763809396759967,2.688583259524164e-13,1.853186415850792e-15,3.9580805778503416,0.017051927984060158,8.216499971668888e-10,1.0339757656912846e-25,4.786772203445435,0.03622298261636402,2.6390802953397026e-13,1.1176537544878086e-15,26.387549543380736,0.28736546645800304,1.005881974964442e-12,7.19677162846642e-14,680.0675092697144,2.09401221796449,2.8086780551628584e-13,0.0,126.53504633903503,0.13418490931886587,3.6770227939659677e-13,5.048709793414476e-29
65,1.8171632289886475,0.0470640429356079,7.128699841623981e-13,2.3082404727846462e-14,3.190220022201538,0.1401300000478919,2.088265266765573e-13,6.555388236576316e-16,4.665666913986206,0.05772231080799069,3.858871865892992e-10,0.0,5.290506744384766,0.07148975895356093,2.0338171722678446e-13,2.047481147896772e-15,26.47733516693115,0.2327305819329738,4.2845891117730604e-13,6.4713384736531946e-15,680.5143068313598,0.9454754177539065,2.328046532989164e-13,0.0,127.1808093547821,0.18110944700006726,2.3728104462765905e-13,0.0
70,2.020358371734619,0.027259308131682185,4.000281793545126e-13,1.0657162484173272e-14,3.47349271774292,0.07277020102649925,1.9962173570051708e-13,7.0294966354011596e-15,4.972856760025024,0.055273240461903676,2.0727159382247513e-10,0.0,5.686983203887939,0.03672346228094234,1.9462331565782828e-13,9.547771152395203e-16,26.804541301727294,0.19766371747614747,2.7059734112447366e-13,1.1143140999351095e-14,686.3251352787017,8.042879275738791,2.2448951592471904e-13,0.0,127.26403894424439,0.10099592519861261,2.223005386159619e-13,2.524354896707238e-29
75,2.134594535827637,0.01902788765233243,2.654334953599849e-13,7.364998456425923e-15,3.7670327186584474,0.0715150129137709,1.967856567470936e-13,5.822225408066985e-15,5.452294397354126,0.06576348819925151,1.200909922076365e-10,0.0,6.145218801498413,0.07144089724839148,1.9257916856508888e-13,2.1742345199861123e-15,26.85505542755127,0.2500709898444481,2.255516440111041e-13,1.2996014189611975e-14,680.201792383194,3.6393465536666767,2.1826808763764075e-13,0.0,127.54300971031189,0.10203273782792849,2.053684164873363e-13,2.524354896707238e-29
80,2.268066883087158,0.016197586020686428,2.1452711564842293e-13,2.550211438977907e-15,3.9986939430236816,0.05862942878097709,1.9713441095812954e-13,3.677579469009332e-15,5.937506008148193,0.021857296852176022,7.66124852758119e-11,0.0,6.727081441879273,0.0727027710915157,1.9446714431777194e-13,1.4936311369397717e-15,27.038437366485596,0.266830590421643,1.9926834830795117e-13,1.290137739260422e-14,682.3862433433533,1.0225497421501588,2.1948786049638406e-13,0.0,127.73733024597168,0.124377909719202,2.0406326306747057e-13,2.524354896707238e-29
85,2.480517053604126,0.02443841482913298,1.9993969525270175e-13,7.16091493494213e-15,4.455799198150634,0.03553827506994658,1.989827363134362e-13,5.9099882022749186e-15,6.781051206588745,0.0467716687024879,5.563309916672927e-11,0.0,7.206757211685181,0.16751840746450333,1.9186389756851772e-13,2.5124686367123372e-15,27.97441382408142,0.309242099792261,1.9664845633639818e-13,6.6969493938014286e-15,683.2705794811249,2.2450416211525,2.208556984705014e-13,2.524354896707238e-29,127.91074161529541,1.0517977374338257,1.98903632628588e-13,0.0
90,2.535092496871948,0.06546824464794788,1.9442054767523288e-13,6.6563915988727996e-15,4.749341440200806,0.03677751430410238,1.9643012365374444e-13,1.908519964078931e-15,7.00760703086853,0.09353187890702915,3.766016700131982e-11,0.0,7.679675054550171,0.16925421467433696,1.9079220674911712e-13,1.9714823891066732e-15,28.17652473449707,0.21409437751685254,2.0885427806161899e-13,2.1017165401168032e-14,682.1679303646088,0.9114730946756803,2.200889753591865e-13,0.0,128.8091193675995,0.27079413153503856,2.0235249216256944e-13,2.524354896707238e-29
95,2.631281089782715,0.07815970436737271,1.8829766219278728e-13,6.7697972194131555e-15,5.052316761016845,0.057404010042379376,2.04474319560585e-13,7.7753508813586e-15,7.70246376991272,0.3215248830238179,2.744786446651749e-11,0.0,8.102066326141358,0.10720297890338273,1.9357089986568937e-13,2.6963703427758737e-15,28.794211435317994,0.2259111504023328,1.9379393360795916e-13,2.155578144596362e-14,684.5377485275269,1.953803605136126,2.1661816934709671e-13,0.0,128.62167510986328,0.670797273946183,2.010967818196577e-13,2.524354896707238e-29
100,2.8639970779418946,0.09534854807956879,1.90042717295606e-13,3.738644104148332e-15,5.340174388885498,0.1527386469095391,1.9619094751368485e-13,3.4184887078618713e-15,8.349577903747559,0.22458482256030599,2.0228727565775974e-11,0.0,8.807183218002319,0.04188962855870967,1.927820089001711e-13,3.1742061861795437e-15,29.706048202514648,0.08538090672571785,1.9219626611289032e-13,5.638290476862882e-15,686.5718564510346,0.7594388337560741,2.189902994858238e-13,0.0,128.6744665622711,1.0711202978840564,2.0159451319980336e-13,2.524354896707238e-29

